print_ref,deck_label,band_color,owner_table,title,counterparty,amount,vat,format_note,body_lines,qr_payload,card_id
CARD-001,INVOICE,#F07A00,T-01,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-EB2BF5B3FB,RED-T01-V1
CARD-002,INVOICE,#F07A00,T-01,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-EA62275945,RED-T01-V2
CARD-003,INVOICE,#F07A00,T-01,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-417F237B3F,RED-T01-V3
CARD-004,INVOICE,#F07A00,T-01,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-392471A22E,RED-T01-V4
CARD-005,INVOICE,#F07A00,T-01,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-0858FAB507,RED-T01-V5
CARD-006,INVOICE,#F07A00,T-01,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-B4775DC9C6,RED-T01-V6
CARD-007,INVOICE,#F07A00,T-02,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-C43D8CE096,RED-T02-V1
CARD-008,INVOICE,#F07A00,T-02,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-90C3CA323D,RED-T02-V2
CARD-009,INVOICE,#F07A00,T-02,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-0695E0C09E,RED-T02-V3
CARD-010,INVOICE,#F07A00,T-02,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-6872AD7D53,RED-T02-V4
CARD-011,INVOICE,#F07A00,T-02,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-F73A091353,RED-T02-V5
CARD-012,INVOICE,#F07A00,T-02,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-CE199DF87C,RED-T02-V6
CARD-013,INVOICE,#F07A00,T-03,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-97DA6FCCCE,RED-T03-V1
CARD-014,INVOICE,#F07A00,T-03,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-C191C87076,RED-T03-V2
CARD-015,INVOICE,#F07A00,T-03,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-42806674CD,RED-T03-V3
CARD-016,INVOICE,#F07A00,T-03,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-3959AD29CA,RED-T03-V4
CARD-017,INVOICE,#F07A00,T-03,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-1E464022F3,RED-T03-V5
CARD-018,INVOICE,#F07A00,T-03,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-E94BCDAADB,RED-T03-V6
